Course_ID,Course_Name,Career_Paths
CS001,B.Sc Computer Science,"Software Engineer,Data Scientist,Government IT Jobs,Higher Studies (MCA/M.Sc)"
COM001,B.Com,"Chartered Accountant,Banking Officer,Financial Analyst,Government Jobs"
ENG001,B.Tech Computer Science,"Software Developer,System Analyst,IT Consultant,Government Technical Jobs"
MED001,MBBS,"Medical Doctor,Government Medical Officer,Specialist Doctor,Medical Research"
CIV001,B.Tech Civil Engineering,"Civil Engineer,Government PWD Jobs,Construction Manager,Urban Planner"
PHY001,B.Sc Physics,"Research Scientist,Teacher,Government Lab Jobs,Higher Studies (M.Sc/PhD)"
CHE001,B.Sc Chemistry,"Chemical Analyst,Government Lab Jobs,Pharmaceutical Industry,Research"
MAT001,B.Sc Mathematics,"Data Analyst,Teacher,Government Statistical Jobs,Actuarial Science"
ENG002,B.A English,"Content Writer,Teacher,Government Administrative Jobs,Journalism"
TAM001,B.A Tamil,"Tamil Teacher,Government Jobs,Translation Services,Cultural Officer"
HIS001,B.A History,"Historian,Teacher,Archaeological Survey Jobs,Civil Services"
ECE001,B.Tech Electronics,"Electronics Engineer,Government Technical Jobs,Telecom Industry,Research"
MEC001,B.Tech Mechanical,"Mechanical Engineer,Government Jobs,Manufacturing Industry,Design Engineer"
BIO001,B.Sc Biology,"Lab Technician,Government Health Jobs,Research Assistant,Higher Studies"
EEE001,B.Tech Electrical,"Electrical Engineer,Government Power Sector Jobs,Private Industry,Consultant"
MBA001,MBA,"Business Manager,Government Administrative Jobs,Entrepreneur,Consultant"
BBA001,BBA,"Business Executive,Government Jobs,Marketing Manager,HR Officer"
POL001,B.A Political Science,"Civil Services,Government Administrative Jobs,Political Analyst,Journalism"
ECO001,B.A Economics,"Economic Analyst,Government Planning Jobs,Banking Sector,Research"
IT001,B.Tech Information Technology,"IT Professional,Government IT Jobs,Software Consultant,System Administrator"
